holiday,workingday,weather,temp,humidity,hour,month,weekday,windspeed_log,count
1.0,0.0,0.0,0.3061224489795918,0.39,22,11,4,0.6499165714828657,91.0
0.0,1.0,0.0,0.6326530612244897,0.44,20,6,0,0.7118171892413097,331.0
0.0,1.0,0.0,0.38775510204081626,0.47000000000000003,17,12,1,0.8457491628521647,572.0
0.0,0.0,0.0,0.6938775510204082,0.79,8,9,5,0.7722451012802903,230.0
0.0,1.0,0.0,0.2448979591836735,0.56,3,2,4,0.47935479054152785,5.0
0.0,1.0,0.0,0.38775510204081626,0.71,2,9,4,0.7378090764110621,10.0
1.0,0.0,0.0,0.7346938775510204,0.7000000000000001,14,9,0,0.7498045648813844,512.0
0.0,1.0,0.3333333333333333,0.4897959183673469,0.55,9,4,0,0.5121747539102088,169.0
0.0,1.0,0.3333333333333333,0.42857142857142855,0.9400000000000001,21,3,4,0.0,152.0
0.0,1.0,0.0,0.4081632653061224,0.35000000000000003,23,4,3,0.6499165714828657,94.0
0.0,1.0,0.0,0.42857142857142855,0.62,4,10,3,0.7378090764110621,5.0
0.0,1.0,0.3333333333333333,0.5714285714285714,0.43,15,10,2,0.6828581167872255,301.0
0.0,1.0,0.3333333333333333,0.5510204081632654,0.8300000000000001,8,10,1,0.5121747539102088,406.0
0.0,1.0,0.3333333333333333,0.32653061224489793,0.76,19,3,2,0.7722451012802903,134.0
0.0,1.0,0.3333333333333333,0.5510204081632654,0.88,12,5,0,0.7378090764110621,185.0
0.0,1.0,0.3333333333333333,0.6530612244897959,0.78,10,6,4,0.7378090764110621,204.0
0.0,0.0,0.0,0.2448979591836735,0.48,3,11,5,0.7118171892413097,15.0
0.0,1.0,0.0,0.4081632653061224,0.41000000000000003,11,11,4,0.8292976920829547,221.0
0.0,1.0,0.0,0.2448979591836735,0.7000000000000001,22,12,0,0.0,71.0
0.0,1.0,0.0,0.7142857142857143,0.54,9,8,3,0.5121747539102088,337.0
0.0,1.0,0.3333333333333333,0.18367346938775508,0.47000000000000003,11,1,1,0.5670379751602527,35.0
0.0,1.0,0.3333333333333333,0.5918367346938775,0.73,11,10,0,0.8117292224347721,263.0
0.0,1.0,0.0,0.5918367346938775,0.73,5,7,4,0.5670379751602527,23.0
